// Start Time: Unknown
// Update Rate: Various
// Filter Profile: vru_general (43.12)
// Option Flags: AHS Enabled ICC Enabled 
// Firmware Version: 1.5.1
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
19172	0.151072	0.188902	9.835348	-0.001893	0.013498	0.000841	-0.838255	-1.674779	-3.348811	1.280128	-1.003745	-3.742764
19176	0.177812	0.258492	9.642661	0.005036	0.010702	-0.008145	-0.830425	-1.677698	-3.350349	1.281536	-0.997181	-3.746836
19180	0.172266	0.160758	9.871246	-0.005085	0.000380	0.020514	-0.822769	-1.685875	-3.351898	1.278662	-0.995014	-3.736506
19184	0.117393	0.263837	9.868597	-0.005724	0.006882	0.003127	-0.833384	-1.682791	-3.346017	1.275630	-0.991708	-3.734021
19188	0.185224	0.212716	9.616873	-0.000243	0.003754	0.001347	-0.825207	-1.675196	-3.347534	1.273854	-0.988259	-3.733436
19192	0.197924	0.255646	9.712081	0.001634	-0.006550	-0.001210	-0.833210	-1.677534	-3.346006	1.273896	-0.992542	-3.733295
19196	0.161391	0.185787	9.824764	-0.007411	0.004685	0.009943	-0.829811	-1.677981	-3.366443	1.266518	-0.988621	-3.727401
19200	0.139614	0.195317	9.882417	0.003876	-0.004205	0.003147	-0.840599	-1.680155	-3.360573	1.266863	-0.992437	-3.723884
19204	0.180717	0.242696	9.641573	0.010797	0.012700	-0.000029	-0.822510	-1.675320	-3.349578	1.271293	-0.983134	-3.724461
19208	0.169560	0.156226	9.832326	-0.004014	0.012437	0.008216	-0.830508	-1.688334	-3.357269	1.269341	-0.975563	-3.719864
19212	0.135402	0.228510	9.850566	-0.002005	0.000805	0.011652	-0.829989	-1.672562	-3.357236	1.264957	-0.974559	-3.712525
19216	0.167840	0.165125	9.789703	-0.008230	0.007655	-0.003646	-0.833034	-1.680284	-3.352909	1.259540	-0.970456	-3.713818
19220	0.196478	0.267196	9.620890	0.013030	-0.001668	0.001056	-0.825725	-1.693637	-3.349871	1.269535	-0.970236	-3.714552
19224	0.181603	0.122465	9.836422	-0.009496	-0.002189	0.006427	-0.835301	-1.661679	-3.346229	1.259772	-0.972736	-3.708586
19228	0.143420	0.204336	9.928550	0.008092	-0.015525	-0.015225	-0.832770	-1.680405	-3.359807	1.262966	-0.981176	-3.716984
