// Start Time: Unknown
// Update Rate: Various
// Filter Profile: vru_general (43.12)
// Option Flags: AHS Enabled ICC Enabled 
// Firmware Version: 1.5.1
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
15058	0.281732	0.150144	9.825646	0.023898	0.002911	0.012991	-0.270140	-0.791448	-3.520406	1.052605	-1.789763	-3.435785
15062	0.275003	0.149475	9.812739	0.018455	0.006472	-0.001822	-0.265267	-0.802129	-3.519917	1.063755	-1.782928	-3.436498
15066	0.267695	0.176641	9.785743	0.039689	0.009101	0.005102	-0.278493	-0.796293	-3.511987	1.085510	-1.778381	-3.427892
15070	0.252915	0.183149	9.724104	0.028332	0.013621	0.002789	-0.275881	-0.801714	-3.516340	1.101689	-1.770508	-3.422623
15074	0.264673	0.177647	9.787210	0.035686	0.015879	-0.004676	-0.273005	-0.807257	-3.527592	1.122576	-1.760414	-3.428266
15078	0.255670	0.198579	9.774120	0.037346	0.006203	0.006332	-0.263095	-0.804679	-3.510471	1.144360	-1.753854	-3.419139
15082	0.278635	0.166270	9.840085	0.028616	0.006001	0.004295	-0.270924	-0.804429	-3.511237	1.160750	-1.749489	-3.411125
15086	0.269832	0.184164	9.799233	0.031120	0.008967	-0.002962	-0.265793	-0.804555	-3.508427	1.178636	-1.742178	-3.406472
15090	0.285251	0.140063	9.976398	0.054613	0.028454	0.002016	-0.267966	-0.799336	-3.515569	1.207469	-1.724582	-3.405365
15094	0.258410	0.204052	9.833763	0.063407	0.038825	-0.018495	-0.271359	-0.812234	-3.506655	1.245118	-1.702068	-3.406448
15098	0.210726	0.262874	9.637977	0.049703	0.022848	-0.005508	-0.274059	-0.806772	-3.500002	1.273182	-1.689969	-3.397684
15102	0.200688	0.268900	9.475909	0.007107	0.001375	0.001577	-0.263706	-0.812403	-3.501290	1.278134	-1.687469	-3.385858
15106	0.239010	0.213732	9.712994	-0.008933	-0.001735	-0.010456	-0.268836	-0.814946	-3.506405	1.274483	-1.687803	-3.382078
15110	0.263468	0.187681	9.847187	-0.010673	-0.018323	-0.009310	-0.268487	-0.809770	-3.510993	1.268194	-1.697442	-3.383064
15114	0.273000	0.180337	9.891616	0.004721	-0.004297	-0.000056	-0.263445	-0.807187	-3.503579	1.270365	-1.698003	-3.375983
15118	0.239356	0.236289	9.699902	0.011776	0.008667	-0.002136	-0.266141	-0.809732	-3.503839	1.277155	-1.691866	-3.368635
15122	0.248568	0.230542	9.714750	0.014715	0.011015	-0.000616	-0.253004	-0.812859	-3.507166	1.286150	-1.681031	-3.364029
15126	0.270558	0.188547	9.808105	0.002503	-0.000266	-0.000811	-0.263445	-0.807187	-3.503579	1.286773	-1.679583	-3.358039
15130	0.258326	0.197456	9.791359	0.011530	-0.001565	0.014798	-0.276403	-0.812148	-3.511764	1.292918	-1.682180	-3.343499
15134	0.259241	0.219447	9.776598	0.009445	-0.007344	0.002900	-0.266402	-0.814949	-3.501551	1.299515	-1.685354	-3.330270
15138	0.246812	0.213751	9.776925	0.009320	-0.002557	-0.012503	-0.261096	-0.812487	-3.501035	1.305581	-1.684290	-3.328199
15142	0.258308	0.199322	9.815074	0.005910	0.001613	-0.007097	-0.263187	-0.796632	-3.501258	1.305167	-1.681857	-3.331820
15146	0.242920	0.201559	9.807147	0.001744	0.019555	0.005433	-0.271359	-0.812234	-3.506655	1.306038	-1.671179	-3.320274
15150	0.239100	0.209887	9.760234	0.007838	-0.003894	-0.007726	-0.266141	-0.809732	-3.503839	1.310090	-1.672495	-3.317959
15154	0.233018	0.206124	9.773471	-0.000900	0.010484	-0.003523	-0.263356	-0.809896	-3.508182	1.308837	-1.664964	-3.316459
15158	0.241363	0.190064	9.796403	-0.000034	0.003310	0.001348	-0.270837	-0.801800	-3.511231	1.305538	-1.663696	-3.316588
15162	0.250403	0.202987	9.816815	0.002700	-0.000289	-0.000870	-0.271010	-0.807057	-3.511242	1.305314	-1.664363	-3.314668
15166	0.243105	0.187021	9.800116	0.010833	0.011419	-0.019571	-0.273970	-0.809481	-3.504606	1.311078	-1.658985	-3.316456
15170	0.255614	0.206264	9.810634	0.005169	0.007545	0.004964	-0.263622	-0.804437	-3.496676	1.312364	-1.653833	-3.306596
15174	0.260427	0.201241	9.833028	0.006164	-0.007279	-0.002671	-0.258049	-0.810104	-3.509971	1.314974	-1.655325	-3.308842
15178	0.263427	0.206472	9.821637	-0.000195	0.006074	-0.006349	-0.258048	-0.812773	-3.512275	1.314585	-1.649128	-3.312549
