// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
48287	6152018	-0.003873	-0.045254	9.777687	0.009342	-0.000702	-0.004215	0.020406	0.651311	-0.612235	-0.013696	-0.079223	-1.724857
48288	6152118	0.009926	-0.037948	9.759915	-0.005405	-0.000002	-0.012670	0.027957	0.659833	-0.617692	-0.017572	-0.079122	-1.731371
48289	6152218	0.001758	-0.049148	9.768471	0.006740	0.001762	0.003150	0.025008	0.653548	-0.609791	-0.014502	-0.078007	-1.729069
48290	6152318	0.004658	-0.047524	9.788934	-0.002781	-0.012350	0.001280	0.023184	0.657809	-0.616036	-0.016886	-0.084978	-1.727811
48291	6152418	0.000770	-0.052714	9.775909	0.008731	-0.001848	-0.004491	0.020254	0.653889	-0.606045	-0.012671	-0.085931	-1.729878
48292	6152518	-0.004868	-0.048815	9.775825	0.004755	-0.006672	-0.003009	0.013801	0.663114	-0.606414	-0.010735	-0.089647	-1.731716
48293	6152618	0.004260	-0.049489	9.766528	-0.004605	-0.008473	-0.007723	0.020130	0.649265	-0.608176	-0.014159	-0.094395	-1.735430
48294	6152718	-0.007338	-0.047687	9.769515	-0.007682	0.003800	-0.006237	0.022354	0.651674	-0.603859	-0.019348	-0.092110	-1.738392
48295	6152818	0.002520	-0.044830	9.776658	-0.003730	-0.018841	-0.000907	0.023079	0.655550	-0.616077	-0.022277	-0.102795	-1.738330
48296	6152918	0.010696	-0.041973	9.772341	0.000182	0.002068	-0.009893	0.020378	0.658512	-0.603915	-0.022956	-0.101502	-1.743499
48297	6153018	0.000386	-0.042806	9.769504	0.001861	-0.008143	0.000373	0.020130	0.649265	-0.608176	-0.022684	-0.106057	-1.742730
48298	6153118	0.009683	-0.044276	9.772144	0.005442	0.000494	-0.007324	0.011538	0.655975	-0.614911	-0.020351	-0.105664	-1.746561
48299	6153218	0.002405	-0.053390	9.784121	0.003421	-0.004825	0.003266	0.016330	0.660365	-0.614477	-0.019189	-0.108315	-1.744002
48300	6153318	0.011172	-0.052343	9.778266	0.004822	0.006299	-0.006628	0.016416	0.660258	-0.616526	-0.017215	-0.104595	-1.747241
48301	6153418	0.010810	-0.057094	9.786674	0.003342	-0.001579	0.004441	0.023117	0.660280	-0.611896	-0.016102	-0.105386	-1.743905
48302	6153518	0.008113	-0.054264	9.773795	-0.001888	0.001783	-0.003437	0.025074	0.651077	-0.613931	-0.017978	-0.104252	-1.745248
48303	6153618	0.013831	-0.043339	9.777808	0.000976	-0.002723	-0.009559	0.018469	0.662880	-0.608110	-0.018207	-0.105701	-1.750341
48304	6153718	0.006979	-0.043068	9.775381	0.008657	-0.001223	-0.000058	0.022927	0.658129	-0.609887	-0.014046	-0.106289	-1.749689
48305	6153818	-0.005673	-0.048200	9.787750	0.008194	-0.003854	0.006192	0.026936	0.651546	-0.603506	-0.010157	-0.108381	-1.745471
48306	6153918	0.016389	-0.053314	9.779184	0.013746	0.001533	-0.004695	0.022440	0.651567	-0.605909	-0.003077	-0.107389	-1.747699
48307	6154018	-0.006758	-0.049491	9.783489	0.008130	-0.006298	-0.000014	0.018450	0.660514	-0.610200	0.000780	-0.110881	-1.747233
48308	6154118	0.003277	-0.045858	9.786903	0.002593	0.005711	-0.016499	0.023098	0.657915	-0.613986	0.001481	-0.107491	-1.756015
48309	6154218	0.000384	-0.052753	9.786515	-0.005547	0.006377	-0.007167	0.027442	0.660473	-0.605394	-0.002493	-0.103720	-1.759461
48310	6154318	-0.009564	-0.047369	9.784801	0.000735	-0.001322	0.018271	0.024903	0.651290	-0.609832	-0.002896	-0.104357	-1.748474
48311	6154418	-0.006182	-0.038149	9.772636	0.000653	0.006320	0.003744	0.024817	0.651397	-0.607782	-0.003329	-0.100614	-1.745764
48312	6154518	0.008198	-0.057973	9.770367	-0.009394	-0.002608	-0.002145	0.022526	0.651460	-0.607959	-0.009516	-0.101986	-1.747023
48313	6154618	-0.013337	-0.030934	9.778515	0.009273	0.003744	-0.001922	0.020959	0.655401	-0.620353	-0.005006	-0.099718	-1.748142
48314	6154718	0.011886	-0.050191	9.791018	0.002955	-0.005431	-0.000211	0.025093	0.653442	-0.611841	-0.004120	-0.102705	-1.748192
48315	6154818	0.013561	-0.054517	9.766335	-0.000975	0.000373	-0.001826	0.025752	0.659790	-0.619918	-0.005484	-0.102368	-1.749222
48316	6154918	-0.003005	-0.047347	9.785201	0.001450	-0.007101	-0.009467	0.020445	0.656041	-0.608055	-0.005452	-0.106313	-1.754709
48317	6155018	-0.004120	-0.045401	9.795094	-0.005417	0.006019	-0.011637	0.022631	0.653719	-0.607918	-0.009353	-0.102739	-1.761340
48318	6155118	0.007010	-0.043222	9.780749	0.003036	0.005830	0.000216	0.023270	0.657702	-0.618086	-0.008423	-0.099272	-1.761202
48319	6155218	-0.008023	-0.040044	9.768977	-0.004273	0.009956	-0.005343	0.025389	0.657852	-0.613810	-0.011676	-0.093440	-1.764230
48320	6155318	-0.000212	-0.055100	9.774258	-0.002357	0.003568	0.007477	0.022526	0.651460	-0.607959	-0.013845	-0.091266	-1.759977
48321	6155418	-0.009631	-0.040198	9.780450	-0.008306	-0.010588	-0.005584	0.022545	0.653825	-0.605869	-0.019409	-0.097203	-1.763168
48322	6155518	-0.006379	-0.056151	9.772560	0.003580	0.008541	-0.006877	0.023250	0.655337	-0.620176	-0.018163	-0.092178	-1.767094
48323	6155618	0.004653	-0.048179	9.784647	0.005284	-0.004684	0.007041	0.014020	0.658063	-0.616743	-0.015955	-0.094729	-1.763172
48324	6155718	0.013604	-0.059538	9.780693	0.010110	0.008296	-0.000442	0.025475	0.657745	-0.615859	-0.010977	-0.089843	-1.763242
48325	6155818	0.008595	-0.043229	9.769876	0.000169	-0.002426	-0.003104	0.020616	0.655827	-0.612154	-0.011692	-0.091101	-1.765082
48326	6155918	0.008340	-0.050222	9.788188	0.004898	0.007560	-0.000109	0.014058	0.662794	-0.612563	-0.009702	-0.086638	-1.765240
48327	6156018	-0.001280	-0.049431	9.789138	0.005363	-0.001337	-0.006037	0.015796	0.658640	-0.604269	-0.007441	-0.087272	-1.768660
48328	6156118	-0.001071	-0.031314	9.783121	0.006262	0.011166	-0.001114	0.022564	0.656190	-0.603779	-0.004668	-0.080740	-1.768561
48329	6156218	-0.007191	-0.051768	9.770144	0.001370	-0.004520	0.006481	0.027575	0.655530	-0.613673	-0.004706	-0.083195	-1.764146
48330	6156318	-0.003379	-0.049430	9.777239	0.007253	-0.002570	0.001186	0.014039	0.660428	-0.614653	-0.001370	-0.084532	-1.763150
48331	6156418	0.001472	-0.044530	9.784163	0.000794	0.004879	-0.001666	0.016053	0.658320	-0.610418	-0.001733	-0.081600	-1.763481
48332	6156518	0.007400	-0.038591	9.774849	0.002381	0.008894	-0.007103	0.018068	0.656211	-0.606182	-0.001182	-0.076368	-1.766916
48333	6156618	0.004972	-0.040892	9.781120	0.006186	-0.003652	-0.000249	0.024941	0.656020	-0.605651	0.001542	-0.078323	-1.766264
48334	6156718	0.004092	-0.044534	9.787708	-0.000932	0.004848	-0.000165	0.024903	0.651290	-0.609832	0.000188	-0.075409	-1.765775
48335	6156818	0.002508	-0.039920	9.785418	-0.000006	0.002299	-0.010118	0.025370	0.655487	-0.615900	-0.000629	-0.073955	-1.770977
48336	6156918	0.013370	-0.039707	9.768237	-0.003521	0.003245	-0.003208	0.023137	0.662646	-0.609806	-0.003465	-0.071959	-1.772280
48337	6157018	0.003894	-0.035342	9.781323	0.003664	-0.005876	-0.012933	0.011300	0.658660	-0.606672	-0.002177	-0.075190	-1.779352
48338	6157118	-0.006238	-0.034467	9.783104	0.003350	-0.004027	-0.003848	0.020406	0.651311	-0.612235	-0.001076	-0.077360	-1.780721
48339	6157218	0.011843	-0.057087	9.777235	0.004395	0.008667	-0.004274	0.016101	0.653483	-0.616647	0.000623	-0.072257	-1.782707
48340	6157318	0.000990	-0.048728	9.781586	0.009910	0.007682	0.002171	0.018516	0.658043	-0.614340	0.005476	-0.067718	-1.780813
48341	6157418	0.002817	-0.053926	9.773625	-0.007553	-0.003526	-0.010131	0.016015	0.653590	-0.614598	0.000330	-0.069601	-1.786116
48342	6157518	0.002272	-0.048287	9.767851	-0.008360	-0.002465	0.002679	0.024607	0.646880	-0.607863	-0.005288	-0.070874	-1.783694
48343	6157618	0.013753	-0.065627	9.769063	0.005202	0.003368	-0.002359	0.013724	0.653653	-0.614775	-0.003134	-0.068808	-1.784791
48344	6157718	0.004457	-0.043989	9.780072	-0.001529	0.003651	0.000511	0.025008	0.653548	-0.609791	-0.004840	-0.066578	-1.783527
48345	6157818	0.000928	-0.043817	9.763771	0.001107	0.008329	-0.006318	0.025218	0.658065	-0.609710	-0.005031	-0.061669	-1.786552
48346	6157918	0.004275	-0.049966	9.783472	0.003116	-0.006731	-0.008390	0.024712	0.649138	-0.607822	-0.004071	-0.065388	-1.790786
48347	6158018	0.011679	-0.050848	9.773256	0.002647	-0.008661	0.005679	0.024960	0.658385	-0.603561	-0.003389	-0.070213	-1.786943
48348	6158118	0.003051	-0.051149	9.783257	-0.003946	0.000922	-0.008262	0.027595	0.657895	-0.611583	-0.006478	-0.069547	-1.791031
48349	6158218	0.005617	-0.055118	9.774673	-0.003276	-0.001500	-0.013061	0.022946	0.660494	-0.607797	-0.009180	-0.070270	-1.798013
48350	6158318	0.003494	-0.048457	9.787764	0.006734	-0.002523	-0.000574	0.016120	0.655848	-0.614557	-0.006157	-0.071579	-1.797885
48351	6158418	0.016919	-0.050245	9.772229	-0.002981	-0.007455	0.001134	0.020511	0.653569	-0.612194	-0.008702	-0.075713	-1.796554
48352	6158518	0.005185	-0.035326	9.775092	0.001772	0.008232	-0.004606	0.020893	0.657872	-0.616213	-0.008520	-0.070860	-1.798598
48353	6158618	-0.001624	-0.045984	9.769903	-0.000997	0.005070	0.010047	0.027279	0.651120	-0.611704	-0.009935	-0.067817	-1.792112
48354	6158718	-0.000268	-0.056810	9.787159	-0.000660	0.001641	-0.005912	0.024797	0.649031	-0.609872	-0.011148	-0.066739	-1.794954
48355	6158818	0.008032	-0.047554	9.777190	0.003716	0.005708	-0.004320	0.011662	0.660599	-0.612780	-0.009856	-0.063332	-1.797065
48356	6158918	0.009889	-0.053830	9.773642	0.001358	0.011910	-0.003787	0.018621	0.660301	-0.614300	-0.009916	-0.056371	-1.799076
48357	6159018	0.016220	-0.052130	9.768665	0.008305	0.014117	-0.008158	0.015863	0.656168	-0.608408	-0.005995	-0.048147	-1.803233
48358	6159118	0.003033	-0.036298	9.777631	0.004506	0.010178	0.002789	0.015843	0.653803	-0.610498	-0.004257	-0.042179	-1.801055
48359	6159218	-0.002996	-0.040815	9.791587	-0.006333	0.003107	-0.003610	0.018497	0.655678	-0.616430	-0.008726	-0.040263	-1.802450
48360	6159318	0.005173	-0.035939	9.768661	0.006569	-0.003133	-0.007320	0.023040	0.650820	-0.620257	-0.005801	-0.041923	-1.805897
48361	6159418	-0.002454	-0.039652	9.774387	-0.003758	0.002870	-0.006290	0.016244	0.660471	-0.612427	-0.008795	-0.040143	-1.809114
48362	6159518	0.010591	-0.043693	9.784516	-0.007929	-0.002337	-0.008923	0.025685	0.662262	-0.615779	-0.014177	-0.041347	-1.813323
48363	6159618	0.001538	-0.060671	9.778476	0.004928	-0.001300	-0.012402	0.013572	0.656232	-0.608585	-0.012193	-0.041959	-1.820187
48364	6159718	0.005839	-0.038215	9.773812	0.006314	-0.014494	0.008093	0.020550	0.658299	-0.608014	-0.009424	-0.050127	-1.814720
