// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
33045	3332605	0.045335	0.010486	9.776926	-0.005324	-0.000977	-0.003029	-0.549094	0.071847	-0.586605	-0.003860	-0.469179	-79.723633
33046	3332705	0.047325	-0.008076	9.779574	-0.002331	-0.006262	-0.008153	-0.548884	0.076364	-0.586524	-0.005819	-0.472066	-79.728194
33047	3332805	0.048025	-0.004102	9.785979	-0.007561	-0.009679	-0.003473	-0.553715	0.067244	-0.591139	-0.010798	-0.476910	-79.731641
33048	3332905	0.050229	-0.009333	9.775736	0.002823	-0.001090	0.006023	-0.555480	0.078600	-0.591114	-0.009871	-0.476833	-79.727328
33049	3333005	0.045374	-0.000781	9.789907	-0.001918	0.002555	0.007574	-0.553524	0.069396	-0.593148	-0.011669	-0.474667	-79.724326
33050	3333105	0.048357	-0.029516	9.786675	-0.002132	0.000396	0.000935	-0.543854	0.078068	-0.594329	-0.013557	-0.473739	-79.722997
33051	3333205	0.058911	-0.016429	9.782262	0.003735	-0.017074	-0.001751	-0.544340	0.071506	-0.590351	-0.012071	-0.482821	-79.725023
33052	3333305	0.059085	-0.011090	9.781372	-0.001714	-0.000680	0.008861	-0.550832	0.076001	-0.594900	-0.013758	-0.482509	-79.720093
33053	3333405	0.046346	0.002836	9.790698	-0.009348	-0.004572	-0.002962	-0.540225	0.067182	-0.583929	-0.019762	-0.484428	-79.722765
33054	3333505	0.068335	-0.008917	9.784812	0.006727	0.003683	-0.004495	-0.553800	0.067351	-0.589089	-0.016549	-0.481619	-79.726002
33055	3333605	0.038168	-0.020315	9.775389	0.000341	-0.003501	-0.006741	-0.555605	0.073976	-0.593244	-0.016983	-0.482925	-79.729626
33056	3333705	0.053241	-0.008397	9.786901	0.004506	0.004177	-0.013578	-0.555795	0.071825	-0.591235	-0.014998	-0.479834	-79.738038
33057	3333805	0.054635	-0.016271	9.772045	-0.000082	-0.004835	-0.003698	-0.558239	0.074467	-0.585222	-0.015690	-0.481904	-79.740339
33058	3333905	0.036268	-0.010314	9.766376	-0.005396	-0.001762	-0.003923	-0.553504	0.071761	-0.591058	-0.019425	-0.482214	-79.743195
33059	3334005	0.051794	-0.016716	9.772084	-0.001037	0.000300	0.010535	-0.547137	0.062643	-0.588640	-0.020733	-0.481340	-79.738482
33060	3334105	0.039462	-0.000500	9.773043	0.001104	0.003867	-0.001921	-0.546717	0.071677	-0.588478	-0.020753	-0.478425	-79.738717
33061	3334205	0.031149	0.011642	9.767673	0.000545	0.000029	-0.004501	-0.546631	0.071570	-0.590528	-0.021081	-0.477709	-79.743277
