// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
30947	11720513	0.000085	0.068681	9.769095	0.012033	0.005709	0.002047	0.069454	-0.623803	-0.638968	0.549659	0.148895	163.160164
30948	11720613	0.017353	0.046719	9.789711	0.004905	-0.001450	-0.011362	0.058400	-0.616817	-0.641781	0.551340	0.148194	163.165662
30949	11720713	0.002637	0.065963	9.778613	-0.005615	0.007076	-0.006444	0.069416	-0.628534	-0.643148	0.547012	0.152347	163.161563
30950	11720813	0.005908	0.057443	9.772928	-0.002555	0.007332	-0.017399	0.060738	-0.621717	-0.647833	0.544413	0.156708	163.160207
30951	11720913	-0.002638	0.056392	9.771387	0.009696	-0.002982	-0.002267	0.062543	-0.628343	-0.643679	0.548859	0.155075	163.162791
30952	11721013	0.012333	0.060873	9.767458	0.005826	0.014524	-0.000342	0.064977	-0.621418	-0.639281	0.551095	0.163459	163.163260
30953	11721113	0.002868	0.064405	9.784605	0.001034	-0.014799	-0.005380	0.071259	-0.630429	-0.634813	0.550576	0.155071	163.160592
30954	11721213	-0.006798	0.062936	9.768033	0.002037	0.003605	-0.001551	0.071812	-0.626339	-0.642931	0.550638	0.157206	163.161657
30955	11721313	-0.002832	0.065696	9.767726	0.009447	0.002200	-0.005805	0.062706	-0.618989	-0.637368	0.554930	0.158563	163.168622
30956	11721413	-0.014405	0.071802	9.786288	0.006162	-0.001531	-0.006442	0.060099	-0.625701	-0.637666	0.557342	0.157784	163.172525
30957	11721513	-0.001040	0.057236	9.771590	0.002278	0.002032	0.001330	0.071278	-0.628064	-0.632723	0.557550	0.159000	163.170783
30958	11721613	0.010921	0.045870	9.788244	0.004865	0.006708	0.000065	0.064977	-0.621418	-0.639281	0.559230	0.162904	163.176873
30959	11721713	-0.009881	0.066538	9.771625	0.003948	-0.005466	-0.004822	0.067058	-0.625998	-0.639185	0.560379	0.159860	163.177057
30960	11721813	0.007817	0.047681	9.779325	0.002241	-0.001424	-0.004659	0.060099	-0.625701	-0.637666	0.560546	0.159131	163.181810
30961	11721913	0.001563	0.050958	9.783777	0.000352	0.008853	-0.013194	0.066848	-0.630515	-0.639266	0.559622	0.164336	163.175296
30962	11722013	0.000726	0.060029	9.780495	0.001421	-0.003422	0.009885	0.064958	-0.623783	-0.641371	0.559346	0.162379	163.184129
30963	11722113	0.011480	0.054636	9.796749	0.004722	0.000389	-0.005872	0.062562	-0.625978	-0.641589	0.560934	0.162693	163.185610
30964	11722213	0.006787	0.069990	9.774723	-0.003461	-0.001817	-0.002782	0.069388	-0.621332	-0.634828	0.557843	0.161724	163.183229
30965	11722313	-0.002772	0.052357	9.788359	-0.000223	-0.006133	-0.005132	0.062476	-0.625871	-0.639539	0.556597	0.158297	163.187204
30966	11722413	0.005408	0.055040	9.775116	0.002212	-0.009439	-0.003984	0.062114	-0.627809	-0.633430	0.556750	0.152968	163.188768
30967	11722513	0.003258	0.057463	9.788113	-0.002939	-0.004254	0.001667	0.062877	-0.619202	-0.641467	0.553963	0.150578	163.191751
30968	11722613	-0.000826	0.050790	9.767348	0.002328	0.009280	-0.000579	0.069435	-0.626169	-0.641058	0.554189	0.155953	163.192921
30969	11722713	0.003871	0.069800	9.784057	-0.005991	0.002384	-0.005012	0.071793	-0.628704	-0.645021	0.549642	0.157402	163.192443
30970	11722813	0.008504	0.054291	9.786411	0.005462	0.006748	-0.003251	0.062457	-0.628236	-0.641629	0.551653	0.161343	163.199472
30971	11722913	0.012657	0.047170	9.781663	-0.002171	-0.016322	-0.002983	0.067058	-0.625998	-0.639185	0.549298	0.152060	163.198151
30972	11723013	0.007184	0.045092	9.779602	0.002723	-0.009180	0.008642	0.067097	-0.621268	-0.635005	0.549762	0.146807	163.205291
30973	11723113	0.011605	0.056539	9.792306	-0.008727	-0.000680	0.001036	0.065149	-0.621631	-0.643381	0.543653	0.146464	163.210209
30974	11723213	0.013284	0.056454	9.780009	-0.000905	-0.000439	-0.003864	0.067163	-0.623740	-0.639145	0.542020	0.146286	163.210493
30975	11723313	-0.002433	0.065043	9.790037	0.002783	-0.011607	-0.006054	0.071555	-0.626019	-0.636782	0.542498	0.139720	163.207856
30976	11723413	0.002269	0.062236	9.779731	-0.004112	-0.001956	0.003144	0.067078	-0.623633	-0.637095	0.539035	0.138634	163.215318
30977	11723513	-0.006181	0.061399	9.777467	0.009604	0.001153	0.002345	0.060843	-0.619459	-0.647793	0.543428	0.139335	163.223385
30978	11723613	0.002681	0.066562	9.777551	0.001175	-0.007553	0.015245	0.064596	-0.625721	-0.635263	0.543014	0.134975	163.234393
30979	11723713	0.003625	0.053963	9.771101	0.012263	-0.002902	-0.012873	0.060652	-0.621610	-0.645784	0.548911	0.133435	163.231771
30980	11723813	0.006313	0.052332	9.778348	0.001163	0.000120	-0.005939	0.067144	-0.626105	-0.641235	0.548462	0.133586	163.229091
30981	11723913	-0.006718	0.073128	9.787605	0.000468	0.013087	-0.000698	0.063134	-0.619522	-0.647616	0.547618	0.141138	163.233239
30982	11724013	-0.011640	0.061910	9.778478	0.006168	0.001172	-0.002414	0.060357	-0.626021	-0.643815	0.550037	0.141874	163.237593
30983	11724113	0.006642	0.056803	9.781651	0.002478	-0.013023	0.000691	0.071555	-0.626019	-0.636782	0.550352	0.134457	163.235812
30984	11724213	0.007922	0.058984	9.783872	-0.000445	0.001076	-0.004216	0.065254	-0.619373	-0.643340	0.548979	0.135148	163.239214
30985	11724313	0.000923	0.061030	9.763538	0.000434	0.010587	-0.004810	0.069330	-0.628427	-0.641098	0.548111	0.141288	163.239114
30986	11724413	0.010839	0.052049	9.778430	0.004645	-0.021673	-0.000085	0.065082	-0.619159	-0.639241	0.549660	0.128921	163.243360
30987	11724513	0.000678	0.054410	9.781254	-0.000773	0.002882	-0.004186	0.071660	-0.623760	-0.636742	0.548104	0.130643	163.240976
30988	11724613	0.011702	0.052078	9.773270	0.001959	0.010962	-0.002503	0.066867	-0.628150	-0.637176	0.548108	0.136986	163.246659
30989	11724713	0.010160	0.042334	9.774944	0.010454	-0.007017	-0.009103	0.064729	-0.630665	-0.643542	0.552971	0.133065	163.247214
30990	11724813	-0.001140	0.061580	9.778825	-0.000648	0.002572	-0.011015	0.069369	-0.623697	-0.636918	0.551478	0.134644	163.238920
30991	11724913	-0.012999	0.056130	9.781888	0.003976	-0.001307	-0.003739	0.064958	-0.623783	-0.641371	0.552635	0.133965	163.243372
30992	11725013	0.014487	0.052802	9.784328	0.008683	0.000390	0.009838	0.064681	-0.625828	-0.637312	0.556510	0.134181	163.253302
30993	11725113	0.006501	0.055843	9.787145	0.006501	-0.003996	-0.002693	0.060395	-0.621290	-0.639635	0.559116	0.131954	163.257413
30994	11725213	-0.006647	0.064628	9.778271	0.000811	0.004598	-0.003895	0.067202	-0.619010	-0.634965	0.558466	0.134654	163.254178
30995	11725313	0.009467	0.059907	9.773705	-0.000633	-0.000007	0.003444	0.069540	-0.623910	-0.641018	0.556996	0.134677	163.258370
30996	11725413	-0.004415	0.053900	9.779885	0.004081	0.004845	0.001865	0.074064	-0.631133	-0.646934	0.558224	0.137488	163.260969
30997	11725513	-0.002885	0.073686	9.781840	0.000038	0.007051	0.007800	0.060738	-0.621717	-0.647833	0.557134	0.141534	163.279403
30998	11725613	0.017975	0.055447	9.777936	0.001075	-0.001405	0.001377	0.067335	-0.623953	-0.643244	0.556642	0.140764	163.279374
30999	11725713	0.008143	0.051777	9.772961	-0.005000	0.002408	-0.009658	0.058170	-0.623698	-0.643951	0.552642	0.142245	163.285594
